line,pop_tot21,num_hh21,mhhi21,pop_tot16,num_hh16,mhhi16
1,243415,104896,128937.97451803673,241561,105012,102720.03213403479
2,316914,141926,121934.04265309653,312539,135067,94649.96494405632
3,193876,85552,122100.93116934405,175602,77142,91908.93152365721
4,248207,103869,111072.42213719344,241650,99726,79915.71471001868
5,169140,66587,89629.40645628452,179886,67546,64116.99998473469
6,182320,74844,102762.2865430554,182938,74414,79848.1275419574
7,91223,33238,86959.19828035435,98483,38980,81319.19563194623
A,306634,125621,103116.45724462329,278934,112280,78255.22274266634
B,208344,87308,84157.66052718791,201868,81168,63809.14196944618
C,204816,92312,112996.3617305811,183709,81585,85514.89870389357
D,206927,77869,71538.70638291574,205929,73268,57348.64706484542
E,123446,58557,109931.415785778,121784,57669,91241.03797445486
F,166263,70402,108979.25086227078,171144,73495,88149.70470884509
G,91554,36614,123293.49738175195,85215,37488,90960.798942086
S,65428,23020,78958.54595426562,59578,20596,59654.605796071664
J,118582,41777,96421.89912917271,115387,40078,68803.27599098638
L,85012,35415,108095.7586534338,86704,37215,82257.11754239963
M,153630,62666,96519.91949390159,152978,62434,78284.81896338344
N,171519,71326,119880.71724208887,154539,62585,89983.12325694783
Q,168823,77670,118747.33655021645,156875,73702,99053.57942956405
R,182089,77562,124678.67341761738,165332,69272,96428.95653756552
W,79226,38887,156502.09061480014,71438,35281,125850.26889380404
Z,82477,30459,106379.58824539708,84116,30018,75440.77484691475
